OBJECTID,advisorySpeed,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,lat,lng
334397,,0,,0,2,,Null,2006/2007,BOWER AVENUE,SALTAIRE ST,,Non-Injury Crash,No,2007,,South,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Christchurch City,Nil,,,,,0,0,Urban,0,,,Light rain,Null,-43.4941118766183,172.711065383912
334477,,0,0,0,0,0,East,2007/2008,JACK ST,HOLMES AVENUE,,Non-Injury Crash,No,2007,0,West,0,0,1,Flat,0,,0,,0,Bright sun,0,0,0,2,0,0,0,0,0,,0,0,Northland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,1,0,,Whangarei District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-35.6972898904279,174.319902134806
334557,,0,,0,0,,West,2007/2008,SH 2,STEEN ROAD,,Minor Crash,Yes,2008,,East,,0,,Flat,,,,,,Bright sun,1,0,1,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,30,Waikato District,Unknown,,,,,0,0,Open,0,,,Fine,Null,-37.2860796908477,175.310281664712
334637,,0,0,0,1,0,South,2007/2008,SH 26,EUREKA ROAD,,Non-Injury Crash,Yes,2007,0,North,0,0,0,Flat,0,,0,,0,Dark,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,Waikato District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null,-37.7650036744848,175.409423740243
334717,,2,0,0,1,0,North,2007/2008,MAIN ROAD,CELIA ST,,Serious Crash,No,2007,0,East,0,0,0,Flat,0,,0,,0,Bright sun,1,0,0,2,0,0,0,0,1,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,1,0,50,0,Null,0,0,,Christchurch City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-43.5599761798769,172.73640572925
334797,,0,,0,1,,North,2006/2007,FAIRVIEW AVENUE,OTEHA VALLEY ROAD,,Non-Injury Crash,No,2007,,South,,0,,Flat,,,,,,Bright sun,0,0,0,2,,,0,,,,,,Auckland Region,Bridge,2-way,Sealed,,0,0,,50,,Off,1,0,,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null,-36.7169076609502,174.714077685553
334877,,0,,0,1,,South,2006/2007,COBHAM DRIVE,MIRAMAR AVENUE,,Non-Injury Crash,No,2007,,North,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,1,0,,Wellington City,Nil,,,,,0,0,Urban,0,,,Light rain,Strong wind,-41.3147050728319,174.810923348746
334957,,0,0,0,1,1,Null,2007/2008,MOUNT EDEN ROAD,BALMORAL ROAD,,Non-Injury Crash,No,2007,0,East,0,0,1,Hill Road,0,,0,,0,Dark,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null,-36.8898476203723,174.759938973643
335037,,0,,0,1,,Null,2007/2008,SH 73,HALKETT ROAD,,Non-Injury Crash,Yes,2007,,East,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,100,,Null,1,0,,Selwyn District,Stop,,,,,0,0,Open,0,,,Fine,Null,-43.5210094601577,172.399131631813
335117,,0,0,0,1,0,North,2006/2007,HIBISCUS COAST HIGHWAY,MARINE VIEW,,Non-Injury Crash,No,2007,0,North,0,0,0,Flat,0,,0,,0,Bright sun,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,Auckland,Nil,1,0,0,0,1,0,Urban,0,0,0,Fine,Null,-36.5844050189049,174.694533687429
